epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,523.934,0.94606,1.59081,1.16661,0.45923,0.44869,0.46102,0.26608,1.71456,2.94509,2.21247,6.81429e-05,6.81429e-05,6.81429e-05
41,537.408,0.93861,1.55486,1.16583,0.45287,0.42544,0.44684,0.24599,1.7293,2.94891,2.19047,6.7044e-05,6.7044e-05,6.7044e-05
42,551.13,1.00196,1.56271,1.17741,0.44155,0.42597,0.44323,0.25028,1.7333,2.97058,2.20686,6.59451e-05,6.59451e-05,6.59451e-05
43,564.895,0.97521,1.56189,1.15338,0.4157,0.47676,0.45162,0.24973,1.78274,2.98193,2.23592,6.48462e-05,6.48462e-05,6.48462e-05
44,578.349,0.90204,1.53572,1.1553,0.44256,0.43909,0.45708,0.26681,1.73621,2.99599,2.18467,6.37473e-05,6.37473e-05,6.37473e-05
45,592.02,0.92099,1.45641,1.15782,0.50785,0.36953,0.44256,0.25072,1.77399,3.00696,2.21786,6.26484e-05,6.26484e-05,6.26484e-05
46,605.67,0.91457,1.51819,1.16557,0.41301,0.42255,0.43463,0.24498,1.7261,2.94162,2.17957,6.15495e-05,6.15495e-05,6.15495e-05
47,619.366,0.9357,1.52615,1.18555,0.39481,0.46862,0.43471,0.24612,1.77147,2.97206,2.21737,6.04506e-05,6.04506e-05,6.04506e-05
48,633.228,0.92422,1.51036,1.13316,0.45976,0.42643,0.43943,0.24307,1.75201,2.89979,2.22737,5.93517e-05,5.93517e-05,5.93517e-05
49,646.865,0.91678,1.48536,1.15302,0.45276,0.41774,0.45087,0.24121,1.78205,2.88418,2.25387,5.82528e-05,5.82528e-05,5.82528e-05
50,660.554,0.88609,1.42231,1.11816,0.4884,0.43046,0.45807,0.2636,1.78255,2.91924,2.23089,5.71539e-05,5.71539e-05,5.71539e-05
