epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9204,1.38857,5.19646,1.56627,0,0,0,0,1.8535,4.53489,2.47128,3.33e-05,3.33e-05,3.33e-05
2,27.7603,1.31785,4.88466,1.45937,0,0,0,0,1.87416,4.52825,2.37079,6.70397e-05,6.70397e-05,6.70397e-05
3,39.9033,1.30983,4.29721,1.42611,0,0,0,0,1.78048,4.52055,2.3157,0.000100098,0.000100098,0.000100098
4,52.528,1.28475,3.73937,1.42357,0,0,0,0,1.73483,4.48974,2.29734,0.000107703,0.000107703,0.000107703
5,64.5151,1.26664,3.54415,1.39726,0.08485,0.09038,0.08008,0.03816,1.69588,4.44655,2.24816,0.000106604,0.000106604,0.000106604
6,76.3588,1.27631,3.44814,1.3902,0.04578,0.21154,0.10067,0.0497,1.71002,4.3269,2.26175,0.000105506,0.000105506,0.000105506
7,87.8956,1.23964,3.26364,1.36093,0.33097,0.1,0.13213,0.07817,1.74369,4.09913,2.3094,0.000104407,0.000104407,0.000104407
8,99.3697,1.26893,3.0255,1.39246,0.37736,0.18578,0.21651,0.12397,1.68738,3.9098,2.28354,0.000103308,0.000103308,0.000103308
9,110.753,1.18133,2.82119,1.31623,0.43355,0.25096,0.24238,0.14068,1.72081,3.81835,2.2744,0.000102209,0.000102209,0.000102209
10,123.016,1.18336,2.73935,1.31636,0.41345,0.27512,0.2927,0.16,1.80263,3.72662,2.34314,0.00010111,0.00010111,0.00010111
11,134.367,1.19316,2.59587,1.32972,0.46126,0.27596,0.3373,0.18244,1.74253,3.57535,2.33627,0.000100011,0.000100011,0.000100011
12,145.714,1.17875,2.48351,1.3127,0.45496,0.30729,0.35093,0.1894,1.76229,3.54352,2.33441,9.89121e-05,9.89121e-05,9.89121e-05
13,157.173,1.12624,2.36675,1.27848,0.45518,0.31923,0.395,0.2298,1.79842,3.50402,2.37428,9.78132e-05,9.78132e-05,9.78132e-05
14,168.697,1.14702,2.28769,1.27825,0.48502,0.31264,0.41172,0.23016,1.8449,3.40595,2.38626,9.67143e-05,9.67143e-05,9.67143e-05
15,181.653,1.07682,2.25315,1.27154,0.46967,0.28119,0.38048,0.21669,1.7386,3.42577,2.33759,9.56154e-05,9.56154e-05,9.56154e-05
16,193.878,1.12965,2.17331,1.27002,0.44178,0.32132,0.38417,0.22352,1.72008,3.41336,2.2801,9.45165e-05,9.45165e-05,9.45165e-05
17,205.629,1.07857,2.10849,1.25289,0.51386,0.29135,0.40654,0.24117,1.65067,3.44322,2.23347,9.34176e-05,9.34176e-05,9.34176e-05
18,217.602,1.09537,2.05523,1.27943,0.4063,0.36941,0.43485,0.23663,1.66886,3.38594,2.20096,9.23187e-05,9.23187e-05,9.23187e-05
19,229.296,1.07465,1.91273,1.22919,0.42306,0.38763,0.43363,0.24356,1.67709,3.32791,2.24771,9.12198e-05,9.12198e-05,9.12198e-05
20,241.293,1.06879,1.95493,1.238,0.4288,0.40037,0.40211,0.21739,1.67336,3.33735,2.20284,9.01209e-05,9.01209e-05,9.01209e-05
21,253.009,1.04785,1.84569,1.2117,0.56138,0.32026,0.42796,0.24345,1.65764,3.40015,2.23321,8.9022e-05,8.9022e-05,8.9022e-05
22,264.85,1.05666,1.87338,1.22467,0.42615,0.40446,0.42354,0.25123,1.6484,3.30185,2.25391,8.79231e-05,8.79231e-05,8.79231e-05
23,276.653,1.00478,1.77278,1.20206,0.42242,0.40313,0.43436,0.24767,1.71871,3.25862,2.27994,8.68242e-05,8.68242e-05,8.68242e-05
24,288.564,1.06466,1.77907,1.20549,0.4439,0.41353,0.43365,0.24398,1.74337,3.25272,2.28368,8.57253e-05,8.57253e-05,8.57253e-05
25,300.342,0.99887,1.75722,1.19047,0.43282,0.38287,0.41233,0.24035,1.7086,3.23393,2.26234,8.46264e-05,8.46264e-05,8.46264e-05
26,312.171,0.97181,1.67928,1.17225,0.50837,0.33785,0.42274,0.22924,1.74793,3.333,2.27305,8.35275e-05,8.35275e-05,8.35275e-05
27,324.048,1.055,1.68877,1.21327,0.5132,0.35534,0.42498,0.23741,1.71365,3.32386,2.20213,8.24286e-05,8.24286e-05,8.24286e-05
28,335.873,0.99444,1.69087,1.17252,0.47263,0.34543,0.43933,0.24628,1.68873,3.18373,2.21733,8.13297e-05,8.13297e-05,8.13297e-05
29,347.733,0.99716,1.62048,1.1674,0.51576,0.36107,0.45193,0.25373,1.68112,3.17838,2.22885,8.02308e-05,8.02308e-05,8.02308e-05
30,359.511,0.96617,1.59776,1.16425,0.45762,0.33341,0.43508,0.25357,1.67483,3.22487,2.20961,7.91319e-05,7.91319e-05,7.91319e-05
31,371.463,0.97148,1.61019,1.17823,0.51908,0.39298,0.45933,0.25214,1.68401,3.24795,2.21421,7.8033e-05,7.8033e-05,7.8033e-05
32,383.508,0.94507,1.58222,1.17399,0.54383,0.36221,0.45488,0.26399,1.68643,3.18988,2.22261,7.69341e-05,7.69341e-05,7.69341e-05
33,395.696,0.98651,1.56021,1.17142,0.46184,0.38907,0.44523,0.25548,1.7077,3.24008,2.20259,7.58352e-05,7.58352e-05,7.58352e-05
34,407.689,0.9361,1.47027,1.14024,0.46884,0.39397,0.446,0.24583,1.75657,3.202,2.24887,7.47363e-05,7.47363e-05,7.47363e-05
35,419.65,0.93567,1.5158,1.14864,0.38796,0.41328,0.43425,0.24423,1.7458,3.24517,2.26557,7.36374e-05,7.36374e-05,7.36374e-05
36,431.418,0.94967,1.51036,1.16668,0.38449,0.4021,0.41381,0.23955,1.70549,3.29156,2.21612,7.25385e-05,7.25385e-05,7.25385e-05
37,443.226,0.95502,1.50923,1.14309,0.43539,0.41811,0.46142,0.26986,1.6614,3.21544,2.19834,7.14396e-05,7.14396e-05,7.14396e-05
38,454.906,0.93499,1.46595,1.14742,0.41993,0.40873,0.42557,0.23884,1.74687,3.21957,2.26685,7.03407e-05,7.03407e-05,7.03407e-05
39,466.636,0.91623,1.46306,1.14744,0.42291,0.42725,0.42791,0.24521,1.75251,3.27284,2.28144,6.92418e-05,6.92418e-05,6.92418e-05
40,478.612,0.91563,1.4333,1.13774,0.46602,0.39698,0.45485,0.25197,1.77327,3.26684,2.27845,6.81429e-05,6.81429e-05,6.81429e-05
41,490.32,0.93636,1.48772,1.15707,0.43318,0.42424,0.4431,0.2427,1.79056,3.22576,2.30348,6.7044e-05,6.7044e-05,6.7044e-05
42,503.522,0.90169,1.48441,1.13142,0.42061,0.44603,0.46066,0.27035,1.78464,3.13528,2.29562,6.59451e-05,6.59451e-05,6.59451e-05
43,522.753,0.91348,1.45454,1.13311,0.43394,0.41696,0.45883,0.26569,1.71524,3.15814,2.26773,6.48462e-05,6.48462e-05,6.48462e-05
44,541.308,0.90374,1.42538,1.14123,0.4701,0.39397,0.45387,0.2642,1.75352,3.15885,2.28721,6.37473e-05,6.37473e-05,6.37473e-05
45,553.679,0.91717,1.39018,1.13397,0.46732,0.41724,0.45953,0.25151,1.75318,3.18775,2.25811,6.26484e-05,6.26484e-05,6.26484e-05
46,565.776,0.88335,1.39598,1.14191,0.48093,0.37414,0.47362,0.25294,1.82127,3.33929,2.25701,6.15495e-05,6.15495e-05,6.15495e-05
47,577.931,0.91947,1.48089,1.13193,0.50556,0.39237,0.46139,0.25583,1.76618,3.25879,2.21199,6.04506e-05,6.04506e-05,6.04506e-05
48,590.156,0.87232,1.3587,1.1108,0.44263,0.42258,0.46495,0.25957,1.76023,3.2429,2.21498,5.93517e-05,5.93517e-05,5.93517e-05
49,602.916,0.8887,1.34019,1.1084,0.45042,0.4379,0.47122,0.26336,1.71807,3.16017,2.19935,5.82528e-05,5.82528e-05,5.82528e-05
50,614.598,0.87226,1.33164,1.11183,0.45859,0.44579,0.47116,0.26779,1.70626,3.20198,2.20475,5.71539e-05,5.71539e-05,5.71539e-05
51,626.533,0.84559,1.30722,1.11901,0.46885,0.44345,0.46194,0.25166,1.67919,3.25837,2.14911,5.6055e-05,5.6055e-05,5.6055e-05
52,638.354,0.86469,1.35297,1.1299,0.40719,0.44423,0.43525,0.24455,1.73775,3.28528,2.19467,5.49561e-05,5.49561e-05,5.49561e-05
53,649.876,0.83974,1.30879,1.10135,0.42358,0.45015,0.42826,0.24808,1.74591,3.30225,2.21066,5.38572e-05,5.38572e-05,5.38572e-05
54,661.516,0.87158,1.35637,1.13695,0.40662,0.45332,0.40273,0.2319,1.72042,3.32516,2.20854,5.27583e-05,5.27583e-05,5.27583e-05
55,673.398,0.8839,1.31467,1.109,0.48088,0.38287,0.43604,0.25811,1.71172,3.33535,2.19872,5.16594e-05,5.16594e-05,5.16594e-05
56,685.19,0.8855,1.31745,1.11875,0.46573,0.41696,0.45625,0.26909,1.6799,3.29151,2.17531,5.05605e-05,5.05605e-05,5.05605e-05
57,697.175,0.87699,1.29234,1.09912,0.47711,0.40473,0.45992,0.26677,1.6861,3.29708,2.1559,4.94616e-05,4.94616e-05,4.94616e-05
58,708.817,0.87008,1.251,1.10245,0.40743,0.46057,0.44485,0.25294,1.70283,3.27478,2.1733,4.83627e-05,4.83627e-05,4.83627e-05
59,720.56,0.82182,1.23273,1.0947,0.41347,0.4633,0.43847,0.24807,1.73469,3.25853,2.17062,4.72638e-05,4.72638e-05,4.72638e-05
60,733.067,0.85028,1.25668,1.0843,0.45236,0.43405,0.44114,0.25123,1.76099,3.21825,2.207,4.61649e-05,4.61649e-05,4.61649e-05
61,745.186,0.85834,1.24612,1.10205,0.50631,0.38256,0.43328,0.24337,1.78625,3.26614,2.23045,4.5066e-05,4.5066e-05,4.5066e-05
62,756.717,0.83259,1.19349,1.07651,0.40668,0.45749,0.44208,0.24435,1.81173,3.28442,2.26041,4.39671e-05,4.39671e-05,4.39671e-05
63,767.991,0.82533,1.26167,1.09493,0.42847,0.46629,0.43711,0.24244,1.76664,3.2559,2.2012,4.28682e-05,4.28682e-05,4.28682e-05
64,779.485,0.85176,1.24087,1.09738,0.46629,0.43429,0.4485,0.24659,1.77608,3.20868,2.22607,4.17693e-05,4.17693e-05,4.17693e-05
65,791.302,0.81463,1.19196,1.07463,0.467,0.44764,0.44922,0.25405,1.78843,3.25742,2.26496,4.06704e-05,4.06704e-05,4.06704e-05
66,802.698,0.82524,1.2482,1.09093,0.47684,0.43447,0.44905,0.26071,1.72896,3.25236,2.22632,3.95715e-05,3.95715e-05,3.95715e-05
67,814.069,0.80344,1.18943,1.07733,0.50513,0.41308,0.46274,0.25909,1.73591,3.24887,2.21161,3.84726e-05,3.84726e-05,3.84726e-05
68,825.658,0.83555,1.21308,1.09962,0.46391,0.42238,0.44848,0.24843,1.73361,3.29623,2.20947,3.73737e-05,3.73737e-05,3.73737e-05
69,837.052,0.78768,1.18813,1.08361,0.46242,0.44383,0.44692,0.24255,1.73216,3.27126,2.18972,3.62748e-05,3.62748e-05,3.62748e-05
70,848.554,0.82189,1.16515,1.07376,0.44983,0.44461,0.43732,0.24776,1.75683,3.2999,2.20119,3.51759e-05,3.51759e-05,3.51759e-05
71,860.109,0.81799,1.19333,1.07669,0.45952,0.4493,0.45165,0.25693,1.75564,3.22686,2.21393,3.4077e-05,3.4077e-05,3.4077e-05
72,872.078,0.8273,1.15174,1.07631,0.46923,0.41976,0.46217,0.26845,1.76782,3.21408,2.22033,3.29781e-05,3.29781e-05,3.29781e-05
73,883.608,0.804,1.17567,1.06213,0.46389,0.41815,0.44678,0.24932,1.76518,3.22449,2.22418,3.18792e-05,3.18792e-05,3.18792e-05
74,894.966,0.76889,1.13883,1.07339,0.4518,0.46027,0.46469,0.25737,1.76961,3.23115,2.22896,3.07803e-05,3.07803e-05,3.07803e-05
75,906.281,0.80716,1.17906,1.07574,0.49863,0.42983,0.46727,0.2547,1.75453,3.25746,2.2241,2.96814e-05,2.96814e-05,2.96814e-05
76,917.754,0.79397,1.1365,1.0778,0.46263,0.42813,0.46365,0.24497,1.77449,3.24377,2.22756,2.85825e-05,2.85825e-05,2.85825e-05
77,929.245,0.7867,1.18233,1.06754,0.46102,0.4533,0.45943,0.25182,1.75728,3.21217,2.21117,2.74836e-05,2.74836e-05,2.74836e-05
78,940.738,0.79746,1.15755,1.07591,0.43731,0.43783,0.44431,0.25827,1.76344,3.23305,2.23001,2.63847e-05,2.63847e-05,2.63847e-05
79,952.169,0.83234,1.16281,1.08438,0.43208,0.45673,0.44961,0.26356,1.75443,3.23881,2.21757,2.52858e-05,2.52858e-05,2.52858e-05
80,963.653,0.7878,1.19134,1.07357,0.44271,0.45614,0.45345,0.26641,1.76879,3.21682,2.21312,2.41869e-05,2.41869e-05,2.41869e-05
81,975.091,0.76302,1.11638,1.05936,0.46096,0.4421,0.44984,0.26559,1.75213,3.23458,2.20885,2.3088e-05,2.3088e-05,2.3088e-05
82,986.615,0.79926,1.15534,1.07923,0.46876,0.43129,0.45003,0.26369,1.75441,3.19911,2.22376,2.19891e-05,2.19891e-05,2.19891e-05
83,998.192,0.79872,1.16318,1.05759,0.47887,0.44435,0.4504,0.26198,1.73805,3.21115,2.19704,2.08902e-05,2.08902e-05,2.08902e-05
84,1009.65,0.77796,1.16457,1.06608,0.43384,0.47445,0.44887,0.26095,1.74564,3.20423,2.21163,1.97913e-05,1.97913e-05,1.97913e-05
85,1021.02,0.80116,1.13183,1.06003,0.43296,0.46582,0.43846,0.25651,1.74756,3.21556,2.20621,1.86924e-05,1.86924e-05,1.86924e-05
86,1032.47,0.80105,1.17015,1.08176,0.47156,0.46743,0.45206,0.25862,1.76214,3.2358,2.19915,1.75935e-05,1.75935e-05,1.75935e-05
87,1044.77,0.80168,1.1475,1.06263,0.46849,0.45813,0.46795,0.27558,1.77308,3.23634,2.22194,1.64946e-05,1.64946e-05,1.64946e-05
88,1057.09,0.78797,1.13933,1.06824,0.45121,0.46733,0.46834,0.27584,1.75531,3.22195,2.2354,1.53957e-05,1.53957e-05,1.53957e-05
89,1069.18,0.77541,1.08571,1.05156,0.45748,0.4486,0.46183,0.27032,1.73655,3.22022,2.20754,1.42968e-05,1.42968e-05,1.42968e-05
90,1081.56,0.77474,1.10895,1.0694,0.44875,0.44454,0.4432,0.26151,1.73313,3.22569,2.19454,1.31979e-05,1.31979e-05,1.31979e-05
