epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,776.35,0.62925,0.54638,0.97439,0.51973,0.49977,0.52813,0.31695,1.70204,3.0707,1.99307,6.81429e-05,6.81429e-05,6.81429e-05
41,793.572,0.65744,0.56733,1.00074,0.49533,0.50519,0.51909,0.30648,1.67092,3.14657,1.97332,6.7044e-05,6.7044e-05,6.7044e-05
42,810.786,0.68558,0.59034,0.99903,0.50056,0.46809,0.51402,0.30997,1.72629,3.08862,2.03518,6.59451e-05,6.59451e-05,6.59451e-05
43,828.078,0.67859,0.56199,0.99426,0.50004,0.50843,0.53467,0.32331,1.73715,3.00634,2.05136,6.48462e-05,6.48462e-05,6.48462e-05
44,845.45,0.62888,0.54837,0.99529,0.50887,0.48287,0.51923,0.31242,1.69835,3.13015,2.00921,6.37473e-05,6.37473e-05,6.37473e-05
45,862.598,0.63592,0.5403,0.99652,0.50628,0.47088,0.51475,0.31272,1.69144,3.09613,1.97562,6.26484e-05,6.26484e-05,6.26484e-05
46,879.947,0.63574,0.54041,1.00629,0.53007,0.48906,0.52132,0.32824,1.65378,3.05153,1.97403,6.15495e-05,6.15495e-05,6.15495e-05
47,897.408,0.66241,0.56695,1.01749,0.52061,0.48498,0.51246,0.30944,1.71884,3.24769,2.03282,6.04506e-05,6.04506e-05,6.04506e-05
48,914.741,0.63289,0.56168,0.99874,0.51613,0.48229,0.52149,0.31381,1.67366,3.29688,1.9686,5.93517e-05,5.93517e-05,5.93517e-05
49,932.032,0.63461,0.53431,0.99312,0.49719,0.47938,0.51965,0.32476,1.67125,3.17812,1.96161,5.82528e-05,5.82528e-05,5.82528e-05
50,949.32,0.62463,0.52556,0.98323,0.53586,0.48109,0.5279,0.32527,1.68073,3.19118,1.97639,5.71539e-05,5.71539e-05,5.71539e-05
51,966.555,0.62181,0.51478,0.9787,0.51677,0.48175,0.5271,0.33158,1.66897,3.24239,1.96988,5.6055e-05,5.6055e-05,5.6055e-05
52,983.892,0.62922,0.53258,0.96616,0.51926,0.49522,0.53051,0.32577,1.7175,3.19549,2.01636,5.49561e-05,5.49561e-05,5.49561e-05
53,1001.15,0.62342,0.52491,0.9722,0.47171,0.49942,0.51723,0.30538,1.75612,3.19073,2.06252,5.38572e-05,5.38572e-05,5.38572e-05
54,1018.52,0.6477,0.53282,0.99279,0.54724,0.45627,0.53201,0.30319,1.76628,3.18053,2.07131,5.27583e-05,5.27583e-05,5.27583e-05
55,1035.8,0.60184,0.50585,0.97715,0.5389,0.46834,0.52408,0.31424,1.71639,3.08176,2.01621,5.16594e-05,5.16594e-05,5.16594e-05
56,1053.04,0.60412,0.51138,0.97319,0.5354,0.46658,0.52097,0.31116,1.69536,3.13665,1.98311,5.05605e-05,5.05605e-05,5.05605e-05
57,1070.25,0.61499,0.50501,0.97259,0.53224,0.46287,0.51213,0.29544,1.748,3.15912,2.01137,4.94616e-05,4.94616e-05,4.94616e-05
58,1087.53,0.57079,0.47632,0.95873,0.52995,0.45673,0.50642,0.2969,1.68939,3.27037,2.00222,4.83627e-05,4.83627e-05,4.83627e-05
59,1104.87,0.59336,0.47415,0.96461,0.51918,0.48061,0.50764,0.30058,1.73717,3.40669,2.04128,4.72638e-05,4.72638e-05,4.72638e-05
60,1122.16,0.58165,0.47255,0.95195,0.55047,0.4699,0.51424,0.29964,1.76762,3.46674,2.04577,4.61649e-05,4.61649e-05,4.61649e-05
61,1139.61,0.58842,0.48096,0.96527,0.5156,0.48205,0.50477,0.29958,1.7468,3.38646,2.01964,4.5066e-05,4.5066e-05,4.5066e-05
62,1159.45,0.57424,0.47216,0.95566,0.54574,0.45695,0.51666,0.30228,1.7491,3.30927,2.06564,4.39671e-05,4.39671e-05,4.39671e-05
63,1178.91,0.55975,0.48116,0.95726,0.55846,0.46417,0.50992,0.3043,1.72945,3.34065,2.02554,4.28682e-05,4.28682e-05,4.28682e-05
64,1197.55,0.56893,0.47594,0.95627,0.51217,0.46671,0.51624,0.30498,1.70044,3.35166,2.00815,4.17693e-05,4.17693e-05,4.17693e-05
65,1215.98,0.55377,0.45562,0.95918,0.56267,0.46444,0.51939,0.30132,1.69462,3.28276,1.99686,4.06704e-05,4.06704e-05,4.06704e-05
66,1234.27,0.55711,0.45689,0.96086,0.53591,0.4784,0.52387,0.30054,1.7627,3.27351,2.08471,3.95715e-05,3.95715e-05,3.95715e-05
67,1252.59,0.54277,0.45972,0.9484,0.55221,0.47761,0.53209,0.3149,1.7073,3.20645,2.01993,3.84726e-05,3.84726e-05,3.84726e-05
68,1270.61,0.54878,0.45598,0.96369,0.55173,0.47024,0.53367,0.31846,1.73629,3.25079,2.03667,3.73737e-05,3.73737e-05,3.73737e-05
69,1288.48,0.54381,0.45305,0.95344,0.55803,0.45055,0.52691,0.32185,1.70579,3.26736,2.01761,3.62748e-05,3.62748e-05,3.62748e-05
70,1306.28,0.56753,0.46075,0.94493,0.5753,0.459,0.52596,0.32119,1.72978,3.27456,2.03214,3.51759e-05,3.51759e-05,3.51759e-05
71,1324.23,0.53932,0.43441,0.94825,0.56808,0.44912,0.5181,0.31317,1.73312,3.26506,2.04805,3.4077e-05,3.4077e-05,3.4077e-05
72,1342.09,0.54749,0.43574,0.94394,0.54911,0.44991,0.51948,0.30669,1.68576,3.26394,2.01239,3.29781e-05,3.29781e-05,3.29781e-05
73,1359.77,0.53402,0.43235,0.92756,0.54705,0.48191,0.51543,0.30932,1.67038,3.3031,2.0155,3.18792e-05,3.18792e-05,3.18792e-05
74,1377.55,0.5192,0.42367,0.93358,0.55766,0.46727,0.52119,0.31372,1.65952,3.30652,2.00993,3.07803e-05,3.07803e-05,3.07803e-05
75,1395.31,0.53567,0.43626,0.94953,0.55152,0.48081,0.51867,0.3065,1.65913,3.33034,1.98787,2.96814e-05,2.96814e-05,2.96814e-05
76,1413.02,0.52641,0.42864,0.94427,0.53506,0.46833,0.51628,0.31246,1.66217,3.33617,1.99466,2.85825e-05,2.85825e-05,2.85825e-05
77,1430.81,0.53655,0.44349,0.9492,0.54291,0.44255,0.51698,0.30783,1.66017,3.31565,1.99598,2.74836e-05,2.74836e-05,2.74836e-05
78,1448.66,0.535,0.44642,0.94875,0.49793,0.4743,0.51976,0.32138,1.63243,3.36345,1.98285,2.63847e-05,2.63847e-05,2.63847e-05
79,1466.33,0.52872,0.42326,0.93333,0.51878,0.45313,0.51749,0.3166,1.64385,3.34939,1.97434,2.52858e-05,2.52858e-05,2.52858e-05
80,1484.07,0.50804,0.418,0.92968,0.52913,0.48466,0.52618,0.32281,1.64783,3.25621,1.96767,2.41869e-05,2.41869e-05,2.41869e-05
81,1501.93,0.52575,0.42293,0.93431,0.52479,0.4715,0.51778,0.31592,1.67411,3.32094,2.00339,2.3088e-05,2.3088e-05,2.3088e-05
82,1519.66,0.52805,0.43409,0.94103,0.55036,0.47792,0.52946,0.32291,1.64295,3.22832,1.98689,2.19891e-05,2.19891e-05,2.19891e-05
83,1538.17,0.49812,0.39503,0.92743,0.56983,0.45473,0.52306,0.32323,1.65352,3.25279,1.9884,2.08902e-05,2.08902e-05,2.08902e-05
84,1556.1,0.49776,0.4066,0.93405,0.56329,0.46999,0.5361,0.32207,1.67336,3.25661,2.01888,1.97913e-05,1.97913e-05,1.97913e-05
