epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7836,1.66276,3.84676,1.91914,0.00404,0.73187,0.05656,0.02749,1.54735,4.03732,2.13514,0.00022,0.00022,0.00022
2,22.8969,1.44452,2.70696,1.65137,0.00576,0.78514,0.1212,0.05389,1.97305,3.60693,2.47517,0.000445545,0.000445545,0.000445545
3,32.8145,1.43906,2.40417,1.60395,0.65637,0.04615,0.1435,0.03778,2.27261,3.52173,2.84705,0.000666536,0.000666536,0.000666536
4,42.4147,1.37972,2.29521,1.56795,0.6482,0.04327,0.04898,0.01942,2.44639,3.7865,3.09422,0.000882973,0.000882973,0.000882973
5,52.2065,1.34645,2.15881,1.55598,0.63619,0.10481,0.11022,0.04923,2.30596,3.63946,3.00096,0.0009604,0.0009604,0.0009604
6,61.9825,1.38478,2.0367,1.5762,0.65806,0.16442,0.0585,0.02014,2.61715,4.34345,3.06805,0.0009505,0.0009505,0.0009505
7,71.7767,1.37261,1.97198,1.55561,0.73897,0.22885,0.13581,0.06271,2.36097,4.1536,2.88324,0.0009406,0.0009406,0.0009406
8,81.827,1.25843,1.78661,1.44618,0.78727,0.15481,0.15393,0.07935,2.24526,3.41671,2.84538,0.0009307,0.0009307,0.0009307
9,91.5611,1.25917,1.74588,1.47072,0.674,0.21635,0.11841,0.05967,2.13804,3.64973,2.84952,0.0009208,0.0009208,0.0009208
10,101.348,1.24429,1.68124,1.43292,0.75152,0.12692,0.14433,0.04,2.10627,3.33644,2.77278,0.0009109,0.0009109,0.0009109
11,111.284,1.25336,1.68024,1.43406,0.5176,0.18601,0.14133,0.0656,2.52304,3.63336,3.15033,0.000901,0.000901,0.000901
12,121.336,1.1747,1.49077,1.36445,0.7271,0.13942,0.13808,0.06411,2.44525,4.02458,3.04561,0.0008911,0.0008911,0.0008911
13,130.989,1.13333,1.44999,1.33482,0.7206,0.14231,0.10484,0.05666,2.50257,3.43466,3.07217,0.0008812,0.0008812,0.0008812
14,140.805,1.16926,1.38471,1.35423,0.79768,0.16949,0.16988,0.07749,2.01319,3.34776,2.59189,0.0008713,0.0008713,0.0008713
15,150.705,1.1455,1.35685,1.36972,0.7243,0.18373,0.14565,0.06851,1.89524,3.39001,2.45249,0.0008614,0.0008614,0.0008614
16,160.597,1.1151,1.3022,1.35258,0.72369,0.22473,0.18008,0.08454,2.14024,3.79131,2.90229,0.0008515,0.0008515,0.0008515
17,170.87,1.12354,1.28408,1.35114,0.56789,0.2722,0.14126,0.06162,2.0894,3.8177,2.87719,0.0008416,0.0008416,0.0008416
18,180.881,1.05221,1.20609,1.2787,0.60648,0.27468,0.20875,0.0959,2.36794,3.35441,2.86606,0.0008317,0.0008317,0.0008317
19,190.547,1.03887,1.17978,1.27377,0.89825,0.18702,0.23703,0.12123,2.09557,3.39547,2.65414,0.0008218,0.0008218,0.0008218
